Key,English,Arabic (Reference),Category,Translation,Notes
common.info,Info,معلومات,General,,
common.noData,No data available,لا توجد بيانات,General,,
common.noResults,noResults,لا توجد نتائج,General,,
common.selectAll,selectAll,تحديد الكل,General,,
common.deselectAll,deselectAll,إلغاء التحديد,General,,
common.saveSuccess,saveSuccess,تم الحفظ بنجاح,General,,
common.saveError,saveError,خطأ في الحفظ,General,,
common.deleteSuccess,deleteSuccess,تم الحذف بنجاح,General,,
common.deleteError,deleteError,خطأ في الحذف,General,,
common.updateSuccess,updateSuccess,تم التحديث بنجاح,General,,
common.updateError,updateError,خطأ في التحديث,General,,
common.user,User,مستخدم,General,,
common.online,Online,متصل,General,,
common.offline,Offline,غير متصل,General,,
common.settings,Settings,الإعدادات,General,,
common.signOut,Sign Out,تسجيل الخروج,General,,
common.createSuccess,createSuccess,تم الإنشاء بنجاح,General,,
common.createError,createError,خطأ في الإنشاء,General,,
common.confirmDelete,confirmDelete,هل أنت متأكد من الحذف؟,General,,
common.confirmAction,confirmAction,هل أنت متأكد من هذا الإجراء؟,General,,
common.today,Today,اليوم,General,,
common.yesterday,yesterday,أمس,General,,
common.thisWeek,thisWeek,هذا الأسبوع,General,,
common.thisMonth,This Month,هذا الشهر,General,,
common.thisYear,thisYear,هذه السنة,General,,
common.lastWeek,lastWeek,الأسبوع الماضي,General,,
common.lastMonth,lastMonth,الشهر الماضي,General,,
common.lastYear,lastYear,السنة الماضية,General,,
common.custom,Custom,مخصص,General,,
common.errorLoadingData,errorLoadingData,خطأ في تحميل البيانات,General,,
common.loadingData,loadingData,جاري تحميل البيانات...,General,,
common.refreshPage,refreshPage,يرجى تحديث الصفحة,General,,
common.totalValue,totalValue,إجمالي القيمة,General,,
common.creating,creating,جاري الإنشاء...,General,,
common.optional,optional,اختياري,General,,
common.termsAndConditions,termsAndConditions,الشروط والأحكام,General,,
common.items,items,العناصر,General,,
common.issueDate,issueDate,تاريخ الإصدار,General,,
common.expiryDate,expiryDate,تاريخ الانتهاء,General,,
common.viewDetails,viewDetails,عرض التفاصيل,General,,
common.applied,applied,مطبق,General,,
common.partiallyApplied,partiallyApplied,مطبق جزئياً,General,,
common.void,void,ملغى,General,,
common.monthly,monthly,شهري,General,,
common.weekly,weekly,أسبوعي,General,,
common.yearly,yearly,سنوي,General,,
common.paused,paused,موقوف مؤقتاً,General,,
common.expired,expired,منتهي,General,,
common.allTemplates,allTemplates,جميع القوالب,General,,
common.currentlyRunning,currentlyRunning,قيد التشغيل حالياً,General,,
common.temporarilyStopped,temporarilyStopped,متوقف مؤقتاً,General,,
common.monthlyRevenue,monthlyRevenue,الإيرادات الشهرية,General,,
common.fromActiveTemplates,fromActiveTemplates,من القوالب النشطة,General,,
common.customer,Customer,العميل,General,,
common.sendNow,Send Now,إرسال الآن,General,,
common.partial,Partial,جزئي,General,,
common.refunded,Refunded,مسترد,General,,
navigation.main,Main,الرئيسية,Navigation,,
navigation.setup,Setup,الإعداد,Navigation,,
navigation.sales,Sales,المبيعات,Navigation,,
navigation.purchases,Purchases,المشتريات,Navigation,,
navigation.banking,Banking,البنوك,Navigation,,
navigation.reports,Reports,التقارير,Report,,
navigation.settings,Settings,الإعدادات,Navigation,,
navigation.dashboard,Dashboard,لوحة التحكم,Dashboard,,
navigation.contacts,Contacts,جهات الاتصال,Navigation,,
navigation.items,Items & Services,الأصناف والخدمات,Navigation,,
navigation.accounts,Chart of Accounts,دليل الحسابات,Accounting,,
navigation.companies,Companies,الشركات,Navigation,,
navigation.invoices,Invoices,الفواتير,Navigation,,
navigation.addInvoice,Add Invoice,إضافة فاتورة,Navigation,,
navigation.recurringInvoices,Recurring Invoices,الفواتير الدورية,Navigation,,
navigation.quotations,Quotations,عروض الأسعار,Navigation,,
navigation.salesOrders,Sales Orders,أوامر البيع,Navigation,,
navigation.creditNotes,Credit Notes,إشعارات الائتمان,Navigation,,
navigation.bills,Bills,الفواتير الواردة,Navigation,,
navigation.purchaseOrders,Purchase Orders,أوامر الشراء,Navigation,,
navigation.expenses,Expenses,المصروفات,Navigation,,
navigation.debitNotes,Debit Notes,إشعارات الخصم,Navigation,,
navigation.bankAccounts,Bank Accounts,الحسابات البنكية,Navigation,,
navigation.reconciliation,Reconciliation,التسوية البنكية,Navigation,,
navigation.payments,Payments,المدفوعات,Navigation,,
navigation.receipts,Receipts,المقبوضات,Navigation,,
navigation.financialReports,Financial Reports,التقارير المالية,Navigation,,
navigation.balanceSheet,Balance Sheet,الميزانية العمومية,Navigation,,
navigation.profitLoss,Profit & Loss,قائمة الدخل,Navigation,,
navigation.cashFlow,Cash Flow,التدفق النقدي,Navigation,,
navigation.trialBalance,Trial Balance,ميزان المراجعة,Navigation,,
navigation.taxReports,Tax Reports,التقارير الضريبية,Navigation,,
navigation.inventoryReports,Inventory Reports,تقارير المخزون,Navigation,,
navigation.generalSettings,General Settings,الإعدادات العامة,Navigation,,
navigation.languageSettings,Language Settings,إعدادات اللغة,Navigation,,
navigation.users,Users,المستخدمون,Navigation,,
countries.canada,Canada,كندا,General,,
countries.australia,Australia,أستراليا,General,,
countries.germany,Germany,ألمانيا,General,,
countries.france,France,فرنسا,General,,
categories.electronics,Electronics,إلكترونيات,General,,
categories.accessories,Accessories,إكسسوارات,General,,
categories.services,Services,خدمات,General,,
categories.officeSupplies,Office Supplies,مستلزمات مكتبية,General,,
categories.foodAndBeverages,Food & Beverages,أطعمة ومشروبات,General,,
categories.travel,Travel,سفر,General,,
categories.utilities,Utilities,مرافق,General,,
categories.rent,Rent,إيجار,General,,
categories.salaries,Salaries,رواتب,General,,
categories.marketing,Marketing,تسويق,General,,
categories.insurance,Insurance,تأمين,General,,
categories.maintenance,Maintenance,صيانة,General,,
categories.professional,Accountant,محاسب,General,,
categories.company,By Company,بواسطة الشركة,General,,
categories.employee,By Employee,بواسطة الموظف,General,,
dashboard.title,Dashboard,لوحة التحكم,Dashboard,,
dashboard.welcome,Welcome back! Here's what's happening with your business.,مرحباً بك في لوحة التحكم الخاصة بك,Dashboard,,
dashboard.syncNow,Sync Now,مزامنة الآن,Dashboard,,
dashboard.export,Export,تصدير,Dashboard,,
dashboard.overview,Company Overview,نظرة عامة على الشركة,Dashboard,,
dashboard.quickActions,Quick Actions,إجراءات سريعة,Dashboard,,
dashboard.recentTransactions,Recent Transactions,المعاملات الأخيرة,UI-Button,,
dashboard.financialSummary,Financial Summary,الملخص المالي,Dashboard,,
dashboard.cashFlow,Cash Flow,التدفق النقدي,Dashboard,,
dashboard.profitLoss,Profit & Loss,الأرباح والخسائر,Dashboard,,
dashboard.totalRevenue,Total Revenue,إجمالي الإيرادات,Dashboard,,
dashboard.totalExpenses,Total Expenses,إجمالي المصروفات,Dashboard,,
dashboard.netProfit,Net Profit,صافي الربح,Dashboard,,
dashboard.bankBalance,Bank Balance,الرصيد البنكي,Dashboard,,
dashboard.accountsReceivable,Accounts Receivable,الحسابات المدينة,Accounting,,
dashboard.accountsPayable,Accounts Payable,الحسابات الدائنة,Accounting,,
dashboard.totalCash,Total Cash,إجمالي النقد,Dashboard,,
dashboard.monthlyRevenue,Monthly Revenue,الإيرادات الشهرية,Dashboard,,
dashboard.fromLastMonth,from last month,من الشهر الماضي,Dashboard,,
dashboard.revenueVsExpenses,Revenue vs Expenses,الإيرادات مقابل المصروفات,Dashboard,,
dashboard.monthlyComparison,Monthly Comparison for Last 6 Months,مقارنة شهرية,Dashboard,,
dashboard.expenseBreakdown,Expense Breakdown,توزيع المصروفات,Dashboard,,
dashboard.currentMonthExpenses,Current Month Expenses by Category,مصروفات الشهر الحالي,Dashboard,,
dashboard.latestActivities,Latest Financial Activities,آخر الأنشطة المالية,Dashboard,,
dashboard.viewAllTransactions,View All Transactions,عرض جميع المعاملات,UI-Button,,
dashboard.createInvoiceDesc,Start Creating Your First Invoice,ابدأ في إنشاء أول فاتورة لك,Dashboard,,
dashboard.addContactDesc,Add Customers or Suppliers,أضف العملاء أو الموردين,Dashboard,,
dashboard.viewReports,View Reports,عرض التقارير,Dashboard,,
dashboard.viewReportsDesc,Access Financial Reports,الوصول إلى التقارير المالية,Dashboard,,
dashboard.manageItems,Manage Items,إدارة الأصناف,Dashboard,,
dashboard.manageItemsDesc,Add Products and Services,إضافة المنتجات والخدمات,Dashboard,,
dashboard.startByAddingTransactions,Start by Adding Transactions,ابدأ بإضافة المعاملات,UI-Button,,
dashboard.noOutstandingInvoices,No Outstanding Invoices,لا توجد فواتير مستحقة,Dashboard,,
dashboard.noPendingBills,No Pending Bills,لا توجد فواتير معلقة,Dashboard,,
dashboard.thisMonth,This Month,هذا الشهر,Dashboard,,
dashboard.gettingStarted,Getting Started,البدء,Dashboard,,
dashboard.step1,Step 1: Setup Company,الخطوة 1: إعداد الشركة,Dashboard,,
dashboard.step1Desc,Setup Your Company Information and Preferences,قم بإعداد معلومات وتفضيلات شركتك,Dashboard,,
dashboard.step2,Step 2: Add Contacts,الخطوة 2: إضافة جهات الاتصال,Dashboard,,
dashboard.step2Desc,Add Your Customers and Suppliers,أضف عملائك ومورديك,Dashboard,,
dashboard.step3,Step 3: Create Invoice,الخطوة 3: إنشاء فاتورة,Dashboard,,
dashboard.step3Desc,Start Creating Your First Invoice,ابدأ في إنشاء أول فاتورة لك,Dashboard,,
dashboard.configure,Configure,إعداد,Dashboard,,
dashboard.addContacts,Add Contacts,إضافة جهات اتصال,Dashboard,,
dashboard.createInvoice,Create Invoice,إنشاء فاتورة,Dashboard,,
dashboard.mockData.officeRent,Office Rent,إيجار المكتب,Dashboard,,
dashboard.mockData.salaries,Salaries,الرواتب,Dashboard,,
dashboard.mockData.utilities,Utilities,الخدمات والمرافق,Dashboard,,
dashboard.mockData.marketing,Marketing,التسويق,Dashboard,,
dashboard.mockData.other,Other,أخرى,Dashboard,,
dashboard.mockData.invoice1,Invoice #INV-2024-001,فاتورة رقم INV-2024-001#,Dashboard,,
dashboard.mockData.invoice2,Invoice #INV-2024-002,فاتورة رقم INV-2024-002#,Dashboard,,
dashboard.mockData.officeSupplies,Office Supplies,مستلزمات مكتبية,Dashboard,,
dashboard.mockData.internetService,Internet Service,خدمة الإنترنت,Dashboard,,
dashboard.revenue,Revenue,الإيرادات,Dashboard,,
dashboard.expenses,Expenses,المصروفات,Dashboard,,
dashboard.months.jan,Jan,يناير,Dashboard,,
dashboard.months.feb,Feb,فبراير,Dashboard,,
dashboard.months.mar,Mar,مارس,Dashboard,,
dashboard.months.apr,Apr,أبريل,Dashboard,,
dashboard.months.may,May,مايو,Dashboard,,
dashboard.months.jun,Jun,يونيو,Dashboard,,
dashboard.months.jul,Jul,يوليو,Dashboard,,
dashboard.months.aug,Aug,أغسطس,Dashboard,,
dashboard.months.sep,Sep,سبتمبر,Dashboard,,
dashboard.months.oct,Oct,أكتوبر,Dashboard,,
dashboard.months.nov,Nov,نوفمبر,Dashboard,,
dashboard.months.dec,Dec,ديسمبر,Dashboard,,
banking.paymentCreated,Payment Created,تم إنشاء الدفعة,General,,
banking.failedToCreatePayment,Failed to create payment,فشل في إنشاء الدفعة,General,,
banking.accounts.title,Bank Accounts,الحسابات البنكية,Accounting,,
banking.accounts.description,Manage your bank accounts and cash balances,إدارة الحسابات البنكية والأرصدة النقدية,Accounting,,
banking.accounts.addAccount,Add Account,إضافة حساب,Accounting,,
banking.accounts.editAccount,Edit Bank Account,تعديل حساب بنكي,Accounting,,
banking.accounts.createAccount,Create Account,إنشاء حساب,Accounting,,
banking.accounts.updateAccount,Update Account,تحديث الحساب,Accounting,,
banking.accounts.accountCreated,Account created,تم إنشاء الحساب,Accounting,,
banking.accounts.accountCreatedDesc,Bank account has been added successfully.,تمت إضافة الحساب البنكي بنجاح.,Accounting,,
banking.accounts.accountUpdated,Account updated,تم تحديث الحساب,Accounting,,
banking.accounts.accountUpdatedDesc,Bank account has been updated successfully.,تم تحديث معلومات الحساب البنكي بنجاح.,Accounting,,
banking.accounts.saveError,Failed to save account,فشل في حفظ الحساب,Accounting,,
banking.accounts.accountDeleted,Account deleted,تم حذف الحساب,Accounting,,
banking.accounts.accountDeletedDesc,Bank account has been removed successfully.,تمت إزالة الحساب البنكي بنجاح.,Accounting,,
banking.accounts.deleteError,Failed to delete account,فشل في حذف الحساب,Accounting,,
banking.accounts.confirmDelete,Are you sure you want to delete this bank account?,هل أنت متأكد من حذف هذا الحساب البنكي؟,Accounting,,
banking.accounts.loading,Loading accounts...,جاري تحميل الحسابات...,Accounting,,
banking.accounts.errorLoading,Error loading accounts,حدث خطأ أثناء تحميل الحسابات,Accounting,,
banking.accounts.failedToLoad,Failed to load bank accounts. Please try again.,فشل في تحميل الحسابات البنكية. يرجى المحاولة مرة أخرى.,Accounting,,
banking.accounts.bank,Bank,البنك,Accounting,,
banking.accounts.accountName,Account Name,اسم الحساب,Accounting,,
banking.accounts.accountNamePlaceholder,Main business account,الحساب الرئيسي للشركة,Accounting,,
banking.accounts.accountNumber,Account Number,رقم الحساب,Accounting,,
banking.accounts.bankName,Bank Name,اسم البنك,Accounting,,
banking.accounts.bankNamePlaceholder,Enter bank name,أدخل اسم البنك,Accounting,,
banking.accounts.branch,Branch,الفرع,Accounting,,
banking.accounts.branchPlaceholder,Enter branch (optional),أدخل الفرع (اختياري),Accounting,,
banking.accounts.swiftCode,SWIFT Code,رمز SWIFT,Accounting,,
banking.accounts.swiftPlaceholder,FNBAUS33,FNBAUS33,Accounting,,
banking.accounts.balance,Balance,الرصيد,Accounting,,
banking.accounts.currentBalance,Current Balance,الرصيد الحالي,Accounting,,
banking.accounts.openingBalance,Opening Balance,الرصيد الافتتاحي,Accounting,,
banking.accounts.accountType,Account Type,نوع الحساب,Accounting,,
banking.accounts.activeAccount,Active Account,حساب مفعل,Accounting,,
banking.accounts.activeAccountDesc,Active accounts can be used in transactions,يمكن استخدام الحسابات المفعّلة في العمليات,Accounting,,
banking.accounts.defaultAccount,Default Account,الحساب الافتراضي,Accounting,,
banking.accounts.defaultAccountDesc,Used as default for transactions,يُستخدم كافتراضي للعمليات,Accounting,,
banking.accounts.defaultBadge,Default,افتراضي,Accounting,,
banking.accounts.lastTransaction,Last Transaction,آخر معاملة,UI-Button,,
banking.accounts.recentTransactions,Recent Transactions,المعاملات الأخيرة,UI-Button,,
banking.accounts.failedToLoadTransactions,Failed to load transactions,فشل في تحميل المعاملات,UI-Button,,
banking.accounts.noRecentTransactions,No recent transactions,لا توجد معاملات حديثة,UI-Button,,
banking.accounts.totalBalance,Total Balance,إجمالي الرصيد,Accounting,,
banking.accounts.acrossAllAccounts,Across all accounts,عبر جميع الحسابات,Accounting,,
banking.accounts.totalAssets,Total Assets,إجمالي الأصول,Accounting,,
banking.accounts.cashBankBalances,Cash & bank balances,النقد والبنوك,Accounting,,
banking.accounts.totalLiabilities,Total Liabilities,إجمالي الالتزامات,Accounting,,
banking.accounts.creditCardsOverdrafts,Credit cards & overdrafts,بطاقات الائتمان والسحب على المكشوف,Accounting,,
banking.accounts.activeAccounts,Active Accounts,الحسابات المفعّلة,Accounting,,
banking.accounts.ofTotal,Of {{count}} total,من إجمالي {{count}},Accounting,,
banking.accounts.totalAccounts,Total Accounts,إجمالي الحسابات,Accounting,,
banking.payments.title,Payments,المدفوعات,General,,
banking.payments.description,Manage outgoing payments to vendors,إدارة المدفوعات الصادرة إلى الموردين,General,,
banking.payments.descriptionShort,Manage payments,إدارة المدفوعات,General,,
banking.payments.addPayment,New Payment,دفعة جديدة,General,,
banking.payments.editPayment,Edit Payment,تعديل دفعة,General,,
banking.payments.createPayment,Create Payment,إنشاء دفعة,General,,
banking.payments.paymentNumber,Payment #,رقم الدفعة,General,,
banking.payments.paymentDate,Payment Date,تاريخ الدفعة,General,,
banking.payments.paymentMethod,Payment Method,طريقة الدفع,General,,
banking.payments.paymentReference,Reference,المرجع,General,,
banking.payments.referencePlaceholder,Enter reference number,أدخل رقم المرجع,General,,
banking.payments.descriptionPlaceholder,Enter payment description,أدخل وصف الدفعة,General,,
banking.payments.payTo,Pay To,الدفع إلى,General,,
banking.payments.totalPayments,Total Payments,إجمالي المدفوعات,General,,
banking.payments.totalAmount,Total Amount,إجمالي المبلغ,General,,
banking.payments.allPayments,All payments,جميع المدفوعات,General,,
banking.payments.completed,Completed,مكتمل,General,,
banking.payments.pending,Pending,قيد الانتظار,General,,
banking.payments.failed,Failed,فشل,General,,
banking.payments.inProcess,In process,قيد المعالجة,General,,
banking.payments.needAttention,Need attention,بحاجة إلى متابعة,General,,
banking.payments.paymentCreated,Payment created,تم إنشاء الدفعة,General,,
banking.payments.paymentCreatedDesc,New payment has been created successfully.,تم إنشاء الدفعة بنجاح.,General,,
banking.payments.paymentCreateError,Failed to create payment,فشل في إنشاء الدفعة,General,,
banking.payments.paymentDeleted,Payment deleted,تم حذف الدفعة,General,,
banking.payments.paymentDeletedDesc,Payment has been deleted successfully.,تم حذف الدفعة بنجاح.,General,,
banking.payments.paymentDeleteError,Failed to delete payment. Please try again.,فشل في حذف الدفعة. حاول مرة أخرى.,General,,
banking.payments.retryPayment,Retry Payment,إعادة محاولة الدفع,General,,
banking.payments.sendRemittance,Send Remittance,إرسال حوالة,General,,
banking.payments.downloadReceipt,Download Receipt,تنزيل إيصال,General,,
banking.payments.cancelPayment,Cancel Payment,إلغاء الدفعة,General,,
banking.payments.paymentRetried,Payment retried,تمت إعادة المحاولة,General,,
banking.payments.paymentRetriedDesc,Payment has been initiated again.,تم بدء عملية الدفع مرة أخرى.,General,,
banking.payments.paymentCancelled,Payment cancelled,تم إلغاء الدفعة,General,,
banking.payments.paymentCancelledDesc,The payment has been cancelled successfully.,تم إلغاء الدفعة بنجاح.,General,,
banking.payments.remittanceSent,Remittance sent,تم إرسال الحوالة,General,,
banking.payments.remittanceSentDesc,Payment remittance has been sent to the vendor.,تم إرسال الحوالة إلى المورد.,General,,
banking.payments.confirmDelete,Are you sure you want to delete this payment?,هل أنت متأكد من حذف هذه الدفعة؟,General,,
banking.payments.confirmCancel,Are you sure you want to cancel this payment?,هل أنت متأكد من إلغاء هذه الدفعة؟,General,,
banking.payments.failedToLoad,Failed to load payments,فشل في تحميل الدفعات,General,,
banking.makePayment,Make Payment,إجراء دفعة,General,,
banking.paymentInitiated,Payment Initiated,تم بدء عملية الدفع,General,,
banking.paymentInitiatedDesc,Bill payment has been initiated successfully.,تم بدء دفع الفاتورة بنجاح.,General,,
banking.receipts.title,Receipts,الإيصالات,General,,
banking.receipts.description,Manage incoming payments from customers,إدارة المدفوعات الواردة من العملاء,General,,
banking.receipts.descriptionShort,Manage incoming payments,إدارة المدفوعات الواردة,General,,
banking.receipts.addReceipt,New Receipt,إيصال جديد,General,,
banking.receipts.editReceipt,Edit Receipt,تعديل إيصال,General,,
banking.receipts.createReceipt,Create Receipt,إنشاء إيصال,General,,
banking.receipts.receiptDate,Receipt Date,تاريخ الإيصال,General,,
banking.receipts.receiptNumber,Receipt #,رقم الإيصال,General,,
banking.receipts.receivedFrom,Received From,مستلم من,General,,
banking.receipts.totalReceipts,Total Receipts,إجمالي الإيصالات,General,,
banking.receipts.totalAmount,Total Amount,إجمالي المبلغ,General,,
banking.receipts.allReceipts,All Receipts,جميع الإيصالات,General,,
banking.receipts.collected,Collected,المحصّل,General,,
banking.receipts.collectedDesc,Successfully received,تم الاستلام بنجاح,General,,
banking.receipts.pending,Pending,قيد الانتظار,General,,
banking.receipts.beingProcessed,Being processed,قيد المعالجة,General,,
banking.receipts.today,Today,اليوم,General,,
banking.receipts.receivedToday,Received today,المستلم اليوم,General,,
banking.receipts.descriptionPlaceholder,Enter receipt description,أدخل وصف الإيصال,General,,
banking.receipts.receiptCreated,Receipt created,تم إنشاء الإيصال,General,,
banking.receipts.receiptCreatedDesc,New receipt has been created successfully.,تم إنشاء الإيصال بنجاح.,General,,
banking.receipts.createError,Failed to create receipt,فشل في إنشاء الإيصال,General,,
banking.receipts.receiptDeleted,Receipt deleted,تم حذف الإيصال,General,,
banking.receipts.receiptDeletedDesc,Receipt has been deleted successfully.,تم حذف الإيصال بنجاح.,General,,
banking.receipts.receiptDeleteError,Failed to delete receipt. Please try again.,فشل في حذف الإيصال. يرجى المحاولة مرة أخرى.,General,,
banking.receipts.confirmDelete,Are you sure you want to delete this receipt?,هل أنت متأكد من حذف هذا الإيصال؟,General,,
banking.receipts.applyToInvoice,Apply to Invoice,تطبيق على الفاتورة,General,,
banking.receipts.sendReceipt,Send Receipt,إرسال إيصال,General,,
banking.receipts.receiptApplied,Receipt applied,تم تطبيق الإيصال,General,,
banking.receipts.receiptAppliedDesc,Receipt has been applied to the invoice successfully.,تم تطبيق الإيصال على الفاتورة بنجاح.,General,,
banking.receipts.receiptSent,Receipt sent,تم إرسال الإيصال,General,,
banking.receipts.receiptSentDesc,Receipt confirmation has been sent to the customer.,تم إرسال تأكيد الإيصال إلى العميل.,General,,
banking.receipts.refund,Refund,استرداد,General,,
banking.receipts.confirmRefund,Are you sure you want to refund this receipt?,هل أنت متأكد من استرداد هذا الإيصال؟,General,,
banking.receipts.refundInitiated,Refund initiated,تم بدء الاسترداد,General,,
banking.receipts.refundInitiatedDesc,The refund process has been initiated.,تم بدء عملية الاسترداد.,General,,
banking.reconciliation.title,Reconciliation,التسوية البنكية,General,,
banking.reconciliation.description,Match your accounting transactions with your bank statement,مطابقة معاملات المحاسبة مع كشف الحساب البنكي,General,,
banking.reconciliation.descriptionShort,Match transactions,مطابقة المعاملات,General,,
banking.reconciliation.autoMatch,Auto Match,مطابقة تلقائية,General,,
banking.reconciliation.completeReconciliation,Complete Reconciliation,إتمام التسوية,General,,
banking.reconciliation.bookBalance,Book Balance,رصيد الدفاتر,General,,
banking.reconciliation.asPerYourRecords,As per your records,حسب سجلاتك,General,,
banking.reconciliation.bankBalance,Bank Balance,رصيد البنك,General,,
banking.reconciliation.fromBankStatement,From bank statement,من كشف الحساب البنكي,General,,
banking.reconciliation.difference,Difference,الفرق,General,,
banking.reconciliation.reconciled,Reconciled,تمت التسوية,General,,
banking.reconciliation.toReconcile,To reconcile,للتسوية,General,,
banking.reconciliation.balanced,Balanced,متوازن,General,,
banking.reconciliation.unbalanced,Unbalanced,غير متوازن,General,,
banking.reconciliation.matched,Matched,متطابق,General,,
banking.reconciliation.unmatched,Unmatched,غير متطابق,General,,
banking.reconciliation.transactionsFromYourAccounting,Transactions from your accounting,المعاملات من نظام المحاسبة,UI-Button,,
banking.reconciliation.bankStatement,Bank statement,كشف الحساب البنكي,General,,
banking.reconciliation.transactionMatched,Transaction matched,تمت مطابقة المعاملة,UI-Button,,
banking.reconciliation.transactionMatchedDesc,The transaction has been matched successfully.,تمت مطابقة المعاملة بنجاح.,UI-Button,,
banking.reconciliation.autoStarted,Auto-reconciliation started,بدأت التسوية التلقائية,General,,
banking.reconciliation.autoStartedDesc,System is matching transactions automatically...,يقوم النظام بمطابقة المعاملات تلقائياً...,General,,
banking.reconciliation.cannotComplete,Cannot complete reconciliation,لا يمكن إتمام التسوية,General,,
banking.reconciliation.cannotCompleteDesc,There is still a difference between book and bank balances.,لا يزال هناك فرق بين رصيد الدفاتر ورصيد البنك.,General,,
banking.reconciliation.completed,Reconciliation completed,تم إتمام التسوية,General,,
banking.reconciliation.completedDesc,Bank reconciliation has been completed successfully.,تم إتمام التسوية البنكية بنجاح.,General,,
sales.invoices.title,title,فواتير المبيعات,General,,
sales.invoices.description,description,إنشاء وإدارة فواتير العملاء,General,,
sales.invoices.addInvoice,addInvoice,فاتورة جديدة,General,,
sales.invoices.editInvoice,editInvoice,تعديل فاتورة,General,,
sales.invoices.invoiceNumber,invoiceNumber,رقم الفاتورة,General,,
sales.invoices.invoiceDate,invoiceDate,تاريخ الفاتورة,General,,
sales.invoices.dueDate,dueDate,تاريخ الاستحقاق,General,,
sales.invoices.customer,customer,العميل,General,,
sales.invoices.selectCustomer,selectCustomer,اختر العميل,General,,
sales.invoices.items,items,البنود,General,,
sales.invoices.addItem,addItem,إضافة بند,General,,
sales.invoices.subtotal,subtotal,المجموع الفرعي,General,,
sales.invoices.tax,tax,الضريبة,General,,
sales.invoices.discount,discount,الخصم,General,,
sales.invoices.total,total,الإجمالي,General,,
sales.invoices.status,status,الحالة,General,,
sales.invoices.draft,draft,مسودة,General,,
sales.invoices.sent,sent,مرسلة,General,,
sales.invoices.paid,paid,مدفوعة,General,,
sales.invoices.overdue,overdue,متأخرة,General,,
sales.invoices.cancelled,cancelled,ملغاة,General,,
sales.invoices.notes,notes,ملاحظات,General,,
sales.invoices.termsConditions,termsConditions,الشروط والأحكام,General,,
sales.invoices.sendEmail,sendEmail,إرسال بريد إلكتروني,General,,
sales.invoices.markAsPaid,markAsPaid,تمييز كمدفوعة,General,,
sales.invoices.totalInvoices,totalInvoices,إجمالي الفواتير,General,,
sales.invoices.paidInvoices,paidInvoices,الفواتير المدفوعة,General,,
sales.invoices.unpaidInvoices,unpaidInvoices,الفواتير غير المدفوعة,General,,
sales.invoices.overdueInvoices,overdueInvoices,الفواتير المتأخرة,General,,
sales.invoices.invoiceDeletedSuccess,invoiceDeletedSuccess,تم حذف الفاتورة بنجاح,General,,
sales.invoices.invoiceDeleteError,invoiceDeleteError,فشل في حذف الفاتورة,General,,
