Key,English,Arabic
"accounting.insights.cashFlowForecast","Cash Flow Forecast","توقعات التدفق النقدي"
"accounting.insights.expenseAnalysis","Expense Analysis","تحليل المصروفات"
"accounting.insights.expenseDesc","Breakdown of expenses by category and trend.","تفصيل المصروفات حسب الفئة والاتجاه."
"accounting.insights.subtitle","AI-powered financial insights and anomaly detection.","رؤى مالية مدعومة بالذكاء الاصطناعي وكشف الحالات الشاذة."
"accounting.insights.suggestions","Optimization Suggestions","اقتراحات التحسين"
"accounting.insights.suggestionsDesc","AI recommendations to improve financial health.","توصيات الذكاء الاصطناعي لتحسين الصحة المالية."
"accounting.insights.title","Auto Accountant","المحاسب الآلي"
"accounting.journals.actions","Actions","الإجراءات"
"accounting.journals.amount","Amount","المبلغ"
"accounting.journals.date","Date","التاريخ"
"accounting.journals.description","Description","الوصف"
"accounting.journals.entries","Entries","القيود"
"accounting.journals.manual","Manual","يدوي"
"accounting.journals.messages.accountError","All lines must have an account selected.","يجب تحديد حساب لجميع البنود."
"accounting.journals.messages.balancedError","Journal entry must be balanced (Debits = Credits).","يجب أن يكون قيد اليومية متوازناً (المدين = الدائن)."
"accounting.journals.messages.created","Journal entry created successfully.","تم إنشاء قيد اليومية بنجاح."
"accounting.journals.new","New Journal Entry","قيد يومية جديد"
"accounting.journals.noJournals","No journal entries found.","لم يتم العثور على قيود يومية."
"accounting.journals.number","Journal #","رقم القيد"
"accounting.journals.pageDescription","Manage manual journal entries.","إدارة قيود اليومية اليدوية."
"accounting.journals.reference","Reference","المرجع"
"accounting.journals.source","Source","المصدر"
"accounting.journals.title","Journal Entries","قيود اليومية"
"accounts.accountCode","Account Code","رمز الحساب"
"accounts.accountCreated","Account Created","تم إنشاء الحساب"
"accounts.accountCreatedDesc","Account added successfully","تم إضافة الحساب بنجاح"
"accounts.accountDeleted","Account Deleted","تم حذف الحساب"
"accounts.accountDeletedDesc","Account deleted successfully","تم حذف الحساب بنجاح"
"accounts.accountName","Account Name","اسم الحساب"
"accounts.accountSubtype","Subtype","النوع الفرعي"
"accounts.accountType","Account Type","نوع الحساب"
"accounts.accountUpdated","Account Updated","تم تحديث الحساب"
"accounts.accountUpdatedDesc","Account information updated successfully","تم تحديث معلومات الحساب بنجاح"
"accounts.accountsPayable","Accounts Payable","ذمم دائنة"
"accounts.accountsReceivable","Accounts Receivable","ذمم مدينة"
"accounts.addAccount","Add Account","إضافة حساب"
"accounts.assets","Assets","الأصول"
"accounts.balance","Balance","الرصيد"
"accounts.cash","Cash and Bank","نقد وبنوك"
"accounts.costOfGoods","Cost of Goods Sold","تكلفة البضاعة المباعة"
"accounts.credit","Credit","دائن"
"accounts.creditCard","Credit Card","بطاقة ائتمان"
"accounts.currentAsset","Current Assets","أصول متداولة"
"accounts.currentLiability","Current Liabilities","خصوم متداولة"
"accounts.debit","Debit","مدين"
"accounts.deleteAccount","Delete Account","حذف حساب"
"accounts.dividends","Dividends","توزيعات أرباح"
"accounts.editAccount","Edit Account","تعديل حساب"
"accounts.equity","Equity","حقوق الملكية"
"accounts.expense","Expense","مصروف"
"accounts.expenses","Expenditures","المصروفات"
"accounts.fixedAsset","Fixed Assets","أصول ثابتة"
"accounts.income","Revenue","الإيرادات"
"accounts.interestIncome","Interest Income","دخل فوائد"
"accounts.inventory","Inventory","مخزون"
"accounts.isActive","Active","نشط"
"accounts.liabilities","Liabilities","الخصوم"
"accounts.longTermLiability","Long-Term Liabilities","خصوم طويلة الأجل"
"accounts.noAccounts","No Accounts","لا توجد حسابات"
"accounts.noAccountsDesc","Start by Adding Your First Account","ابدأ بإضافة أول حساب"
"accounts.operatingExpense","Operating Expenses","مصروفات تشغيلية"
"accounts.otherAsset","Other Assets","أصول أخرى"
"accounts.otherExpense","Other Expenses","مصروفات أخرى"
"accounts.otherLiability","Other Liabilities","خصوم أخرى"
"accounts.otherRevenue","Other Revenue","إيرادات أخرى"
"accounts.ownersEquity","Owner's Equity","حقوق المالك"
"accounts.parentAccount","Parent Account","الحساب الأب"
"accounts.rentExpense","Rent Expense","مصروف إيجار"
"accounts.retainedEarnings","Retained Earnings","أرباح محتجزة"
"accounts.revenue","Revenue","الإيرادات"
"accounts.salaryExpense","Salaries and Wages","رواتب وأجور"
"accounts.salesRevenue","Sales Revenue","إيرادات مبيعات"
"accounts.serviceRevenue","Service Revenue","إيرادات خدمات"
"accounts.shareCapital","Share Capital","رأس المال"
"accounts.subtitle","Manage Financial Accounts","إدارة الحسابات المالية"
"accounts.title","Accounts","دليل الحسابات"
"accounts.utilityExpense","Utilities","مرافق"
"ai.acc","Acc: {{value}}","قبول: {{value}}"
"ai.accepted","Accepted: {{value}}","مقبول: {{value}}"
"ai.actualCost","","التكلفة الفعلية"
"ai.allTime","","كل الوقت"
"ai.analytics.cost","Cost","التكلفة"
"ai.analytics.description","","راقب استخدام الذكاء الاصطناعي والأداء والتكاليف"
"ai.analytics.estimatedCost","Estimated Cost","التكلفة المقدرة"
"ai.analytics.extractionModes","Extraction Modes","أوضاع الاستخراج"
"ai.analytics.extractionVolume","Extraction Volume","حجم الاستخراج"
"ai.analytics.failed","Failed","فشل"
"ai.analytics.failedExtractions","Failed Extractions","الاستخراجات الفاشلة"
"ai.analytics.mode","Mode","الوضع"
"ai.analytics.model","Model","النموذج"
"ai.analytics.modelUsage","Model Usage","استخدام النماذج"
"ai.analytics.provider","Provider","المزود"
"ai.analytics.providerPerformance","Provider Performance","أداء المزود"
"ai.analytics.recentActivity","Recent Activity","النشاط الأخير"
"ai.analytics.status","Status","الحالة"
"ai.analytics.subtitle","Invoice extraction insights and statistics","إحصائيات ورؤى استخراج الفواتير"
"ai.analytics.success","Success","نجاح"
"ai.analytics.successRate","Success Rate","معدل النجاح"
"ai.analytics.timestamp","Timestamp","الطابع الزمني"
"ai.analytics.title","AI Analytics","تحليلات الذكاء الاصطناعي"
"ai.analytics.tokens","Tokens","الرموز"
"ai.analytics.tokensInOut","({{in}} in / {{out}} out)","({{in}} داخل / {{out}} خارج)"
"ai.analytics.totalExtractions","Total Extractions","إجمالي الاستخراجات"
"ai.analytics.unknownModel","Unknown model","نموذج غير معروف"
"ai.apiKeyRequired","","مفتاح API مطلوب"
"ai.applyToForm","Apply to form","تطبيق على النموذج"
"ai.averageTime","","متوسط الوقت"
"ai.avgResponseTime","","متوسط وقت الاستجابة"
"ai.bills","","الفواتير الواردة"
"ai.breakdown","","التفصيل"
"ai.budget","","الميزانية"
"ai.budgetAlert","","تنبيه الميزانية"
"ai.budgetRemaining","","الميزانية المتبقية"
"ai.budgetUsed","","الميزانية المستخدمة"
"ai.byDocumentType","","حسب نوع المستند"
"ai.byProvider","","حسب المزود"
"ai.byStatus","","حسب الحالة"
"ai.complete","Complete: {{count}}/{{total}} ({{percent}}%)","مكتمل: {{count}}/{{total}} ({{percent}}%)"
"ai.completed","","مكتمل"
"ai.completeness","Completeness","الاكتمال"
"ai.configurationSaved","","تم حفظ التكوين"
"ai.configureProviders","","تكوين المزودين"
"ai.connectionFailed","","فشل الاتصال"
"ai.connectionSuccessful","","نجح الاتصال"
"ai.consentAgree","I understand and consent to AI processing.","أفهم وأوافق على معالجة الذكاء الاصطناعي."
"ai.consentNotice","By enabling AI extraction you agree to send the provided text/image to the selected provider for processing. Redaction is applied to sensitive tokens before LLM refinement. Enable consent to proceed.","بتفعيل استخراج الذكاء الاصطناعي، توافق على إرسال النص/الصورة المقدمة إلى المزود المحدد للمعالجة. يتم تطبيق التنقيح على الرموز الحساسة قبل تحسين LLM. فعّل الموافقة للمتابعة."
"ai.copyJson","Copy JSON","نسخ JSON"
"ai.costAnalysis","","تحليل التكلفة"
"ai.costPerRequest","","التكلفة لكل طلب"
"ai.current","Current: {{value}}","الحالي: {{value}}"
"ai.customPrompt","Custom prompt (optional)","طلب مخصص (اختياري)"
"ai.customRange","","نطاق مخصص"
"ai.customerMatch","Suggested customer","العميل المقترح"
"ai.dailyUsage","","الاستخدام اليومي"
"ai.dateRange","","نطاق التاريخ"
"ai.downloadJson","Download JSON","تنزيل JSON"
"ai.dragDrop","Drag & drop an image or PDF here, or click to select","اسحب وأفلت صورة أو PDF هنا، أو انقر للاختيار"
"ai.enableBudgetAlert","","تفعيل تنبيهات الميزانية"
"ai.enterModel","Enter model (optional)","أدخل النموذج (اختياري)"
"ai.error","","خطأ"
"ai.estimatedCost","","التكلفة المقدرة"
"ai.exportReport","","تصدير التقرير"
"ai.extractFailed","","فشل في استخراج البيانات"
"ai.extractFields","Extract fields","استخراج الحقول"
"ai.extractSuccess","","تم استخراج البيانات بنجاح. يرجى التحقق."
"ai.extractionVolume","","حجم الاستخراج"
"ai.extractionsThisMonth","","استخراجات هذا الشهر"
"ai.extractionsThisWeek","","استخراجات هذا الأسبوع"
"ai.extractionsToday","","استخراجات اليوم"
"ai.failed","","فاشل"
"ai.fileTooLarge","File is too large (>10MB).","الملف كبير جداً (أكثر من 10 ميجابايت)."
"ai.inputTokens","","رموز الإدخال"
"ai.invoiceText","Invoice text","نص الفاتورة"
"ai.invoices","","الفواتير"
"ai.last30Days","","آخر 30 يوم"
"ai.last7Days","","آخر 7 أيام"
"ai.last90Days","","آخر 90 يوم"
"ai.lastUpdated","","آخر تحديث"
"ai.max","max {{value}}","الحد الأقصى {{value}}"
"ai.model","Model (optional)","النموذج (اختياري)"
"ai.monthlyUsage","","الاستخدام الشهري"
"ai.noData","No data to preview.","لا توجد بيانات للمعاينة."
"ai.noDataAvailable","","لا توجد بيانات متاحة"
"ai.noTrendData","No trend data","لا توجد بيانات اتجاه"
"ai.other","","أخرى"
"ai.outputTokens","","رموز الإخراج"
"ai.pages","Pages (optional)","الصفحات (اختياري)"
"ai.pagesHelp","Specify pages to parse (1-indexed). Ranges and commas supported.","حدد الصفحات للتحليل (بدءاً من 1). النطاقات والفواصل مدعومة."
"ai.pagesPlaceholder","e.g., 1-2,4","مثال: 1-2,4"
"ai.pasteHere","Paste recognized text here...","الصق النص المعروف هنا..."
"ai.pasteInvoiceText","Paste invoice text","لصق نص الفاتورة"
"ai.pending","","قيد الانتظار"
"ai.plannedMode","Planned mode","الوضع المخطط"
"ai.previewExtraction","Preview extracted fields","معاينة الحقول المستخرجة"
"ai.processing","","قيد المعالجة"
"ai.promptPlaceholder","Guide the extraction with extra instructions","وجه الاستخراج بتعليمات إضافية"
"ai.provideTextOrImage","Please paste text or upload an image.","يرجى لصق نص أو رفع صورة."
"ai.provider","AI Provider (optional)","المزود"
"ai.providerPerformance","","أداء المزود"
"ai.providerShort","Provider","المزود"
"ai.receipts","","الإيصالات"
"ai.refineWithLLM","Use LLM refinement for text/PDF","استخدام تحسين LLM للنص/PDF"
"ai.refreshData","","تحديث البيانات"
"ai.requests","","الطلبات"
"ai.resetToDefault","","إعادة تعيين الافتراضي"
"ai.retrying","","إعادة المحاولة"
"ai.saveConfiguration","","حفظ التكوين"
"ai.scanCheck","","مسح الشيك (AI)"
"ai.scanDisclaimer","Paste text, or upload an image or PDF for AI extraction.","الصق نصاً، أو ارفع صورة أو PDF للاستخراج بالذكاء الاصطناعي."
"ai.scanFormFilled","","تم استخراج التفاصيل."
"ai.scanRedirect","","تم استخراج البيانات. جارٍ التوجيه إلى نموذج الإنشاء..."
"ai.scanning","","جارٍ المسح..."
"ai.selectModel","Select model","اختر النموذج"
"ai.selectProvider","Select provider","اختر مزود الذكاء الاصطناعي"
"ai.selectedFile","Selected","محدد"
"ai.setBudget","","تعيين الميزانية"
"ai.source","Source: {{mode}}","المصدر: {{mode}}"
"ai.steps","Steps","الخطوات"
"ai.successRate","","معدل النجاح"
"ai.successful","","ناجح"
"ai.testConnection","","اختبار الاتصال"
"ai.tokens","","الرموز"
"ai.total","Total: {{value}}","الإجمالي: {{value}}"
"ai.totalCost","","التكلفة الإجمالية"
"ai.totalExtractions","","إجمالي الاستخراجات"
"ai.totalTokens","","إجمالي الرموز"
"ai.trySample","Try sample","تجربة عينة"
"ai.usageTrends","","اتجاهات الاستخدام"
"ai.useCustomer","Use customer","استخدام العميل"
"ai.vendor","Vendor","المورد"
"ai.vendorDetected","Vendor Detected","تم اكتشاف المورد"
"ai.weeklyUsage","","الاستخدام الأسبوعي"
"app.name","Log & Ledger","Log & Ledger"
"app.tagline","Professional Global Accounting Software","برنامج محاسبة احترافي عالمي"
"approvals.above","","فوق"
"approvals.actionSuccess","Request processed successfully","تمت معالجة الطلب بنجاح"
"approvals.activeRules","Active Rules","القواعد النشطة"
"approvals.addNewRule","Add Approval Rule","إضافة قاعدة موافقة"
"approvals.addRule","Add Rule","إضافة قاعدة"
"approvals.addStep","","إضافة خطوة"
"approvals.amount","","المبلغ"
"approvals.approvalChain","","سلسلة الموافقة"
"approvals.approvalHistory","","سجل الموافقات"
"approvals.approvalRequired","","تتطلب موافقة"
"approvals.approvalSettings","","إعدادات الموافقات"
"approvals.approvalSteps","","خطوات الموافقة"
"approvals.approve","","موافقة"
"approvals.approved","","تمت الموافقة"
"approvals.approver","Approver","المعتمد"
"approvals.approverRole","","دور المعتمد"
"approvals.approvers","","الموافقون"
"approvals.commentPlaceholder","e.g., Approved as per budget...","مثال: تمت الموافقة حسب الميزانية..."
"approvals.commentPrompt","Add an optional comment for the requester:","أضف تعليقاً اختيارياً لمقدم الطلب:"
"approvals.confirmApprove","Confirm Approval","تأكيد الموافقة"
"approvals.confirmReject","Confirm Rejection","تأكيد الرفض"
"approvals.createFirst","","إنشاء أول سير عمل"
"approvals.createWorkflow","","إنشاء سير عمل موافقات"
"approvals.createdOn","","تم الإنشاء في"
"approvals.documentType","","نوع المستند"
"approvals.entityType","Transaction Type","نوع المعاملة"
"approvals.history","History","السجل"
"approvals.maxAmount","Max Amount (Optional)","الحد الأقصى للمبلغ (اختياري)"
"approvals.minAmount","Min Amount","الحد الأدنى للمبلغ"
"approvals.noApprovals","","لا توجد موافقات معلقة"
"approvals.noPending","All caught up!","لا توجد طلبات!"
"approvals.noPendingDesc","You have no pending approval requests.","ليس لديك أي طلبات موافقة معلقة."
"approvals.noRules","No approval rules defined yet.","لم يتم تحديد قواعد موافقة بعد."
"approvals.noWorkflows","","لا توجد سير عمل موافقات مهيأة"
"approvals.noWorkflowsDesc","","أنشئ سير عمل لبدء تطبيق الموافقات على المعاملات عالية القيمة."
"approvals.pending","Pending Requests","معلق"
"approvals.pendingApprovals","","الموافقات المعلقة"
"approvals.purchaseOrder","","أمر شراء"
"approvals.reject","","رفض"
"approvals.rejected","","تم الرفض"
"approvals.requestApproval","","طلب موافقة"
"approvals.requestedBy","Requested by","مقدم الطلب"
"approvals.requests","Requests","الطلبات"
"approvals.requiredRole","Required Role","الدور المطلوب"
"approvals.requiresApprovalBy","","يتطلب موافقة من"
"approvals.ruleCreated","Approval rule created successfully","تم إنشاء قاعدة الموافقة بنجاح"
"approvals.rulesDesc","Transactions matching these criteria will require approval.","المعاملات المطابقة لهذه المعايير ستتطلب موافقة."
"approvals.salesInvoice","","فاتورة مبيعات"
"approvals.settings","Rules","القواعد"
"approvals.settingsSubtitle","Configure thresholds and roles for automatic approval workflows.","تكوين قواعد لطلبات الموافقة التلقائية."
"approvals.settingsTitle","Approval Rules","سير عمل الموافقات"
"approvals.subtitle","Review and approve pending requests.","مراجعة وإدارة طلبات الموافقة المعلقة."
"approvals.threshold","Threshold","الحد"
"approvals.title","Approvals","الموافقات"
"approvals.triggerDescription","","المعاملات التي تتجاوز هذا المبلغ ستفعّل سير العمل هذا."
"approvals.type","Type","النوع"
"approvals.workflowCreated","","تم إنشاء سير العمل بنجاح"
"approvals.workflowDeleted","","تم حذف سير العمل بنجاح"
"approvals.workflowName","","اسم سير العمل"
"approvals.workflowNamePlaceholder","","مثال: المصروفات عالية القيمة"
"auth.companyInformation","Company Information","معلومات الشركة"
"auth.companyName","Company Name","اسم الشركة"
"auth.companyNamePlaceholder","Your Company Name","أدخل اسم شركتك"
"auth.createAccount","Create New Account","إنشاء حساب جديد"
"auth.createAccountPrompt","Don't have an account? Create a new one","ليس لديك حساب؟ قم بإنشاء واحد الآن"
"auth.createNewCompany","Create New Company Account","تم إنشاء حسابك وشركتك بنجاح"
"auth.creatingAccount","Creating Account...","جاري الإنشاء..."
"auth.currencies.AED","UAE Dirham","الدرهم الإماراتي"
"auth.currencies.ARS","ARS","البيزو الأرجنتيني"
"auth.currencies.AUD","AUD","الدولار الأسترالي"
"auth.currencies.BDT","BDT","التاكا البنغلاديشي"
"auth.currencies.BHD","BHD","الدينار البحريني"
"auth.currencies.BRL","BRL","الريال البرازيلي"
"auth.currencies.CAD","CAD","الدولار الكندي"
"auth.currencies.CHF","CHF","الفرنك السويسري"
"auth.currencies.CLP","CLP","البيزو التشيلي"
"auth.currencies.CNY","CNY","اليوان الصيني"
"auth.currencies.COP","COP","البيزو الكولومبي"
"auth.currencies.DJF","DJF","الفرنك الجيبوتي"
"auth.currencies.DKK","DKK","الكرونة الدنماركية"
"auth.currencies.DZD","DZD","الدينار الجزائري"
"auth.currencies.EGP","Egyptian Pound","الجنيه المصري"
"auth.currencies.ETB","ETB","البير الإثيوبي"
"auth.currencies.EUR","Euro","اليورو"
"auth.currencies.GBP","British Pound","الجنيه الإسترليني"
"auth.currencies.GHS","GHS","السيدي الغاني"
"auth.currencies.IDR","IDR","الروبية الإندونيسية"
"auth.currencies.INR","INR","الروبية الهندية"
"auth.currencies.IQD","IQD","الدينار العراقي"
"auth.currencies.JOD","JOD","الدينار الأردني"
"auth.currencies.JPY","JPY","الين الياباني"
"auth.currencies.KES","KES","الشلن الكيني"
"auth.currencies.KMF","KMF","الفرنك القمري"
"auth.currencies.KRW","KRW","الوون الكوري"
"auth.currencies.KWD","KWD","الدينار الكويتي"
"auth.currencies.LBP","LBP","الليرة اللبنانية"
"auth.currencies.LYD","LYD","الدينار الليبي"
"auth.currencies.MAD","MAD","الدرهم المغربي"
"auth.currencies.MRU","MRU","الأوقية الموريتانية"
"auth.currencies.MXN","MXN","البيزو المكسيكي"
"auth.currencies.MYR","MYR","الرنجيت الماليزي"
"auth.currencies.NGN","NGN","النيرة النيجيرية"
"auth.currencies.NOK","NOK","الكرونة النرويجية"
"auth.currencies.NZD","NZD","الدولار النيوزيلندي"
"auth.currencies.OMR","OMR","الريال العماني"
"auth.currencies.PHP","PHP","البيزو الفلبيني"
"auth.currencies.PKR","PKR","الروبية الباكستانية"
"auth.currencies.PLN","PLN","الزلوتي البولندي"
"auth.currencies.QAR","QAR","الريال القطري"
"auth.currencies.RUB","RUB","الروبل الروسي"
"auth.currencies.SAR","Saudi Riyal","الريال السعودي"
"auth.currencies.SDG","SDG","الجنيه السوداني"
"auth.currencies.SEK","SEK","الكرونة السويدية"
"auth.currencies.SGD","SGD","الدولار السنغافوري"
"auth.currencies.SOS","SOS","الشلن الصومالي"
"auth.currencies.SYP","SYP","الليرة السورية"
"auth.currencies.THB","THB","الباهت التايلاندي"
"auth.currencies.TND","TND","الدينار التونسي"
"auth.currencies.TRY","TRY","الليرة التركية"
"auth.currencies.TZS","TZS","الشلن التنزاني"
"auth.currencies.UAH","UAH","الهريفنيا الأوكرانية"
"auth.currencies.UGX","UGX","الشلن الأوغندي"
"auth.currencies.USD","US Dollar","الدولار الأمريكي"
"auth.currencies.VND","VND","الدونج الفيتنامي"
"auth.currencies.YER","YER","الريال اليمني"
"auth.currencies.ZAR","ZAR","الراند الجنوب أفريقي"
"auth.currency","Currency","العملة الأساسية"
"auth.email","Email","البريد الإلكتروني"
"auth.emailPlaceholder","your.email@company.com","أدخل بريدك الإلكتروني"
"auth.existingAccount","Sign In to Existing Account","لديك حساب موجود؟"
